o,h,l,c,volume
1.0807,1.08431,1.07931,1.08336,12676
1.08338,1.08495,1.0828200000000001,1.0843200000000002,9203
1.0843399999999999,1.0848200000000001,1.08054,1.0806200000000001,11052
1.0806,1.08285,1.07997,1.0810799999999998,9565
1.0811,1.08264,1.07996,1.082,11768
1.08198,1.08324,1.07972,1.07988,13421
1.07987,1.08155,1.0797,1.08054,12868
1.08056,1.08384,1.07851,1.0835,13612
1.08352,1.08574,1.08274,1.085,12869
1.08499,1.08693,1.08408,1.08608,8536
1.08606,1.0881399999999999,1.08565,1.0866799999999999,6527
1.0867,1.08894,1.08665,1.08839,6225
1.0884,1.0894,1.0879299999999998,1.08822,2063
1.08822,1.08847,1.08734,1.08816,331
1.08822,1.08904,1.08702,1.0881299999999998,1177
1.08815,1.08896,1.0878,1.08884,1478
1.08886,1.0933899999999999,1.08748,1.09215,4350
1.0921399999999999,1.09218,1.09008,1.0907,3143
1.0907200000000001,1.09148,1.08922,1.09146,2322
1.0914700000000002,1.09198,1.09089,1.09172,2720
1.09174,1.09194,1.09065,1.09065,1568
1.09063,1.09198,1.09053,1.09089,1912
1.09089,1.09154,1.08969,1.09012,2636
1.09009,1.0929,1.08982,1.0925200000000002,11448
1.0925,1.09447,1.09155,1.0938,11522
1.09378,1.09511,1.09261,1.09464,10633
1.0946200000000001,1.09572,1.09376,1.09538,7881
1.0953899999999999,1.09784,1.0953600000000001,1.09596,8349
1.09598,1.0977,1.09276,1.09724,16338
1.09722,1.0989799999999998,1.0949,1.09751,17535
1.09752,1.09927,1.09532,1.0991799999999998,15081
1.0991600000000001,1.10286,1.0986,1.10247,16082
1.10246,1.10448,1.1008200000000001,1.10435,12300
1.10437,1.1044399999999999,1.10198,1.1024100000000001,8481
1.1024,1.1043100000000001,1.10184,1.1042399999999999,6871
1.10422,1.10541,1.10258,1.1053600000000001,6993
1.10535,1.10588,1.1031,1.10325,2714
1.10325,1.1033,1.10238,1.103,192
1.10295,1.10412,1.10233,1.10354,1035
1.10356,1.10591,1.10355,1.1047799999999999,1874
1.10479,1.10486,1.1025200000000002,1.1037700000000001,3662
1.10378,1.1049,1.10306,1.1031,3586
1.1030799999999998,1.10648,1.1028200000000001,1.10643,2616
1.1064100000000001,1.1087,1.10586,1.10794,4391
1.10792,1.10792,1.10582,1.1058299999999999,3710
1.10584,1.10738,1.10552,1.1072799999999998,2416
1.1072799999999998,1.1074,1.10356,1.1047799999999999,5139
1.10476,1.10545,1.10086,1.10217,10541
1.10218,1.10408,1.1001,1.1011799999999998,11104
1.10119,1.10191,1.09934,1.10022,11762
